SALES_ID,ORDER_ID,ORDER_DATE,CLOSE_DATE,CUSTOMER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_AMT,TAX_AMT,TOTAL_AMOUNT,CURRENCY,SALES_CHANNEL,STATUS,RETURN_FLAG,SALES_REP_ID,DEPARTMENT_ID,DEPARTMENT_NAME,REGION_CODE,REGION_NAME,MARKET_AREA_CODE,MARKET_AREA_NAME,SOURCE_SYSTEM,BATCH_ID,INGEST_TS,RECORD_HASH,IS_DELETED
1,ORD-100001,2024-06-15,2024-08-12,CUST-6192,SKU-531,49.77,43.82,69.12,174.47,2286.27,INR,Direct,Closed,false,219,SLS,Sales,NA,North America,US-WEST,United States - West,CRM,CRMLOAD-8610,2025-09-24 04:58:31.000,zjVRIU6pQYq3t7K8,False
2,ORD-100002,2025-12-17,2026-01-27,CUST-3987,SKU-321,39.31,382.18,45.82,1201.88,16179.56,CAD,Online,Closed,false,68,SLS,Sales,LATAM,Latin America,EU-WEST,Europe - West,CRM,CRMLOAD-7922,2025-09-24 04:58:31.000,GikscJMyXHQfubj0,False
3,ORD-100003,2021-10-05,2021-10-11,CUST-4265,SKU-508,30.21,389.01,67.26,940.16,15071.17,AUD,Direct,Lost,false,290,SLS,Sales,APAC,Asia Pacific,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-6774,2025-09-24 04:58:31.000,9VruG0g3PKzxzSBS,False
4,ORD-100004,2025-11-30,2026-01-05,CUST-2317,SKU-330,5.26,37.42,94.12,15.75,118.46,EUR,Direct,Closed,false,208,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,DCRM,CRMLOAD-1200,2025-09-24 04:58:31.000,on8jJn3VCkKlOBSV,False
5,ORD-100005,2022-06-23,2022-08-09,CUST-1588,SKU-473,35.68,198.24,17.75,565.86,7621.31,CAD,Online,Open,false,345,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-NORTH,Europe - North,CRM,CRMLOAD-2956,2025-09-24 04:58:31.000,l2e4fIHzM2tdm2LU,False
6,ORD-100006,2023-03-09,2023-04-07,CUST-9312,SKU-906,16.87,695.31,56.8,938.39,12611.47,GBP,Online,Closed,false,239,SLS,Sales,EMEA,"Europe, Middle East & Africa",APAC-NORTH,APAC - North,CRM,CRMLOAD-8426,2025-09-24 04:58:31.000,gNuQslqSS4zeYpSE,False
7,ORD-100007,2023-06-29,2023-08-22,CUST-1040,SKU-413,2.51,241.32,74.81,48.46,579.36,INR,Partner,Closed,false,259,SLS,Sales,APAC,Asia Pacific,US-WEST,United States - West,CRM,CRMLOAD-7568,2025-09-24 04:58:31.000,JBcjg3GU0BBZVaA6,False
8,ORD-100008,2021-01-21,2021-02-08,CUST-5219,SKU-654,1.19,746.64,90.05,71.08,869.53,GBP,Partner,Closed,false,48,SLS,Sales,LATAM,North America,APAC-SOUTH,APAC - South,CRM,CRMLOAD-6820,2025-09-24 04:58:31.000,exTgqmnrUTgZhSnP,False
9,ORD-100009,2022-10-29,2022-11-14,CUST-8260,SKU-442,3.05,356.99,67.81,87.11,1108.12,INR,Online,Closed,false,121,SLS,Sales,APAC,Asia Pacific,APAC-NORTH,APAC - North,CRM,CRMLOAD-3767,2025-09-24 04:58:31.000,Cw1wQkHq4w7JvI5Q,False
10,ORD-100010,2025-08-16,2025-08-30,CUST-5979,SKU-544,28.76,625.04,13.99,1438.09,18684.96,AUD,Partner,Won,false,24,SLS,Sales,LATAM,Latin America,APAC-NORTH,APAC - North,CRM,CRMLOAD-4819,2025-09-24 04:58:31.000,Gt9VQ0Rx74PAFc3Z,False
11,ORD-100011,2024-05-02,2024-06-11,CUST-5858,SKU-721,23.83,806.59,2.13,1537.68,20756.59,INR,Online,Returned,true,182,SLS,Sales,NA,North America,EU-NORTH,Europe - North,CRM,CRMLOAD-7616,2025-09-24 04:58:31.000,zhaZDBbga3ctDJnO,False
12,ORD-100012,2024-08-02,2024-08-17,CUST-1496,SKU-791,49.25,110.74,29.59,436.32,5860.67,USD,Direct,Closed,false,110,SLS,Sales,NA,North America,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-5599,2025-09-24 04:58:31.000,rUYXbK0NLAZHvEDl,False
13,ORD-100013,2024-10-09,2024-10-14,CUST-9281,SKU-572,41.88,659.63,1.04,2210.02,29834.28,INR,Online,Closed,false,68,SLS,Sales,LATAM,Latin America,EU-WEST,Europe - West,CRM,CRMLOAD-9752,2025-09-24 04:58:31.000,Aj0l2crNFcu81Hkf,False
